utc dates,local dates,CO2 (PARTS_PER_MILLION),PM25 (MICROGRAMS_PER_CUBIC_METER),PM10 (MICROGRAMS_PER_CUBIC_METER),TVOC (PARTS_PER_BILLION),IAQI (IAQI),TEMPERATURE (CELSIUS),HUMIDITY (PERCENT),people,door,ventilation,window
2025-01-31T21:00:00+00:00,2025-02-01T00:00:00+03:00,1077.5,10.0,11.5,,5,24.02000045776367,37.93000030517578,1,0.0,1,0.0
2025-01-31T21:01:00+00:00,2025-02-01T00:01:00+03:00,1081.0,11.0,12.5,,5,24.04500007629395,37.875,1,0.0,1,0.0
2025-01-31T21:02:00+00:00,2025-02-01T00:02:00+03:00,1086.0,11.5,13.0,,5,24.05000019073486,37.84499931335449,1,0.0,1,0.0
2025-01-31T21:03:00+00:00,2025-02-01T00:03:00+03:00,1095.0,8.0,9.0,,5,24.03499984741211,37.81999969482422,1,0.0,1,0.0
2025-01-31T21:04:00+00:00,2025-02-01T00:04:00+03:00,1106.5,11.5,13.5,,5,24.04000091552734,37.83500099182129,1,0.0,1,0.0
2025-01-31T21:05:00+00:00,2025-02-01T00:05:00+03:00,1114.0,11.0,12.0,,5,24.03000068664551,37.90500068664551,1,0.0,1,0.0
2025-01-31T21:06:00+00:00,2025-02-01T00:06:00+03:00,1120.0,9.0,10.0,,5,24.03000068664551,37.90499877929688,1,0.0,1,0.0
2025-01-31T21:07:00+00:00,2025-02-01T00:07:00+03:00,1126.5,10.0,11.5,,5,24.03999996185303,37.94499969482422,1,0.0,1,0.0
2025-01-31T21:08:00+00:00,2025-02-01T00:08:00+03:00,1127.5,11.5,13.5,,5,24.02500057220459,37.93499946594238,1,0.0,1,0.0
2025-01-31T21:09:00+00:00,2025-02-01T00:09:00+03:00,1125.5,10.5,11.0,,5,24.04500007629395,37.89499855041504,1,0.0,1,0.0
2025-01-31T21:10:00+00:00,2025-02-01T00:10:00+03:00,1127.0,11.0,11.5,,5,24.02999973297119,37.90499877929688,1,0.0,1,0.0
2025-01-31T21:11:00+00:00,2025-02-01T00:11:00+03:00,1130.0,10.5,12.0,,5,24.03999996185303,37.86000061035156,1,0.0,1,0.0
2025-01-31T21:12:00+00:00,2025-02-01T00:12:00+03:00,1133.0,12.0,13.5,,5,24.05999946594238,37.7549991607666,1,0.0,1,0.0
2025-01-31T21:13:00+00:00,2025-02-01T00:13:00+03:00,1133.5,10.5,12.0,,5,24.06999969482422,37.93499946594238,1,0.0,1,0.0
2025-01-31T21:14:00+00:00,2025-02-01T00:14:00+03:00,1138.5,10.0,12.5,,5,24.08500003814697,37.95999908447266,1,0.0,1,0.0
2025-01-31T21:15:00+00:00,2025-02-01T00:15:00+03:00,1143.0,9.0,10.0,,5,24.06999969482422,38.01499938964844,1,0.0,1,0.0
2025-01-31T21:16:00+00:00,2025-02-01T00:16:00+03:00,1142.5,9.5,10.5,,5,24.0649995803833,38.00500106811523,1,0.0,1,0.0
2025-01-31T21:17:00+00:00,2025-02-01T00:17:00+03:00,1143.0,10.5,10.5,,5,24.09000015258789,38.01999855041504,1,0.0,1,0.0
2025-01-31T21:18:00+00:00,2025-02-01T00:18:00+03:00,1145.5,10.0,12.5,,5,24.10000038146973,38.02499961853027,1,0.0,1,0.0
2025-01-31T21:19:00+00:00,2025-02-01T00:19:00+03:00,1147.5,9.5,11.0,,5,24.09500026702881,38.11000061035156,1,0.0,1,0.0
2025-01-31T21:20:00+00:00,2025-02-01T00:20:00+03:00,1149.5,8.5,9.0,,5,24.0649995803833,38.02499961853027,1,0.0,1,0.0
2025-01-31T21:21:00+00:00,2025-02-01T00:21:00+03:00,1149.5,9.5,9.5,,5,24.05999946594238,38.11000061035156,1,0.0,1,0.0
2025-01-31T21:22:00+00:00,2025-02-01T00:22:00+03:00,1156.0,10.0,10.0,,5,24.05999946594238,38.20499992370605,1,0.0,1,0.0
2025-01-31T21:23:00+00:00,2025-02-01T00:23:00+03:00,1154.0,9.5,11.0,,5,24.05499935150146,38.21500015258789,1,0.0,1,0.0
2025-01-31T21:24:00+00:00,2025-02-01T00:24:00+03:00,1157.0,10.0,10.0,,5,24.03000068664551,38.19499969482422,1,0.0,1,0.0
2025-01-31T21:25:00+00:00,2025-02-01T00:25:00+03:00,1160.0,9.0,10.5,,5,24.03000068664551,38.28499984741211,1,0.0,1,0.0
2025-01-31T21:26:00+00:00,2025-02-01T00:26:00+03:00,1160.5,8.0,9.5,,5,24.05999946594238,38.31500053405762,1,0.0,1,0.0
2025-01-31T21:27:00+00:00,2025-02-01T00:27:00+03:00,1160.0,10.0,10.0,,5,24.0649995803833,38.36000061035156,1,0.0,1,0.0
2025-01-31T21:28:00+00:00,2025-02-01T00:28:00+03:00,1163.0,8.0,8.0,,5,24.04500007629395,38.23500061035156,1,0.0,1,0.0
2025-01-31T21:29:00+00:00,2025-02-01T00:29:00+03:00,1165.5,10.0,11.0,,5,24.03999996185303,38.32500076293945,1,0.0,1,0.0
2025-01-31T21:30:00+00:00,2025-02-01T00:30:00+03:00,1169.5,10.0,11.5,,5,24.04999923706055,38.47500038146973,1,0.0,1,0.0
2025-01-31T21:31:00+00:00,2025-02-01T00:31:00+03:00,1172.5,9.5,10.5,,5,24.05000019073486,38.48500061035156,1,0.0,1,0.0
2025-01-31T21:32:00+00:00,2025-02-01T00:32:00+03:00,1175.5,9.0,9.0,,5,24.06999969482422,38.39999961853027,1,0.0,1,0.0
2025-01-31T21:33:00+00:00,2025-02-01T00:33:00+03:00,1176.5,8.0,9.5,,5,24.06999969482422,38.46500015258789,1,0.0,1,0.0
2025-01-31T21:34:00+00:00,2025-02-01T00:34:00+03:00,1178.0,9.5,10.5,,5,24.04500007629395,38.57500076293945,1,0.0,1,0.0
2025-01-31T21:35:00+00:00,2025-02-01T00:35:00+03:00,1188.0,10.5,10.5,,5,24.05000019073486,38.56999969482422,1,0.0,1,0.0
2025-01-31T21:36:00+00:00,2025-02-01T00:36:00+03:00,1193.5,8.5,9.0,,5,24.05499935150146,38.36999893188477,1,0.0,1,0.0
2025-01-31T21:37:00+00:00,2025-02-01T00:37:00+03:00,1188.5,10.0,10.0,,5,24.04999923706055,38.25,1,0.0,1,0.0
2025-01-31T21:38:00+00:00,2025-02-01T00:38:00+03:00,1185.5,8.0,9.5,,5,24.03500080108643,38.18499946594238,1,0.0,1,0.0
2025-01-31T21:39:00+00:00,2025-02-01T00:39:00+03:00,1183.5,10.5,12.0,,5,24.04000091552734,38.14500045776367,1,0.0,1,0.0
2025-01-31T21:40:00+00:00,2025-02-01T00:40:00+03:00,1183.5,10.0,11.5,,5,24.03000068664551,38.23999977111816,1,0.0,1,0.0
2025-01-31T21:41:00+00:00,2025-02-01T00:41:00+03:00,1183.5,7.5,9.0,,5,24.02500057220459,38.27000045776367,1,0.0,1,0.0
2025-01-31T21:42:00+00:00,2025-02-01T00:42:00+03:00,1187.5,8.5,9.0,,5,24.02500057220459,38.30500030517578,1,0.0,1,0.0
2025-01-31T21:43:00+00:00,2025-02-01T00:43:00+03:00,1193.0,9.5,11.5,,5,24.04000091552734,38.42499923706055,1,0.0,1,0.0
2025-01-31T21:44:00+00:00,2025-02-01T00:44:00+03:00,1199.0,9.5,10.0,,5,24.01500034332275,38.42500114440918,1,0.0,1,0.0
2025-01-31T21:45:00+00:00,2025-02-01T00:45:00+03:00,1200.5,9.0,9.0,,5,24.0,38.5,1,0.0,1,0.0
2025-01-31T21:46:00+00:00,2025-02-01T00:46:00+03:00,1209.5,8.5,10.0,,5,24.02499961853027,38.61499977111816,1,0.0,1,0.0
2025-01-31T21:47:00+00:00,2025-02-01T00:47:00+03:00,1216.0,9.0,9.0,,5,24.05000019073486,38.56999969482422,1,0.0,1,0.0
2025-01-31T21:48:00+00:00,2025-02-01T00:48:00+03:00,1218.0,9.5,10.5,,5,24.05499935150146,38.51500129699707,1,0.0,1,0.0
